id,name,short,state_id,op_id,status_id
246,Kabupaten Madiun,3519,15,1,1
247,Kabupaten Magetan,3520,15,1,1
248,Kabupaten Ngawi,3521,15,1,1
249,Kabupaten Bojonegoro,3522,15,1,1
250,Kabupaten Tuban,3523,15,1,1
251,Kabupaten Lamongan,3524,15,1,1
252,Kabupaten Gresik,3525,15,1,1
253,Kabupaten Bangkalan,3526,15,1,1
254,Kabupaten Sampang,3527,15,1,1
255,Kabupaten Pamekasan,3528,15,1,1
256,Kabupaten Sumenep,3529,15,1,1
257,Kota Kediri,3571,15,1,1
258,Kota Blitar,3572,15,1,1
259,Kota Malang,3573,15,1,1
260,Kota Probolinggo,3574,15,1,1
261,Kota Pasuruan,3575,15,1,1
262,Kota Mojokerto,3576,15,1,1
263,Kota Madiun,3577,15,1,1
264,Kota Surabaya,3578,15,1,1
265,Kota Batu,3579,15,1,1
266,Kabupaten Pandeglang,3601,16,1,1
267,Kabupaten Lebak,3602,16,1,1
268,Kabupaten Tangerang,3603,16,1,1
269,Kabupaten Serang,3604,16,1,1
270,Kota Tangerang,3671,16,1,1
271,Kota Cilegon,3672,16,1,1
272,Kota Serang,3673,16,1,1
273,Kota Tangerang Selatan,3674,16,1,1
274,Kabupaten Jembrana,5101,17,1,1
275,Kabupaten Tabanan,5102,17,1,1
276,Kabupaten Badung,5103,17,1,1
277,Kabupaten Gianyar,5104,17,1,1
278,Kabupaten Klungkung,5105,17,1,1
279,Kabupaten Bangli,5106,17,1,1
280,Kabupaten Karang Asem,5107,17,1,1
281,Kabupaten Buleleng,5108,17,1,1
282,Kota Denpasar,5171,17,1,1
283,Kabupaten Lombok Barat,5201,18,1,1
284,Kabupaten Lombok Tengah,5202,18,1,1
285,Kabupaten Lombok Timur,5203,18,1,1
286,Kabupaten Sumbawa,5204,18,1,1
287,Kabupaten Dompu,5205,18,1,1
288,Kabupaten Bima,5206,18,1,1
289,Kabupaten Sumbawa Barat,5207,18,1,1
290,Kabupaten Lombok Utara,5208,18,1,1
291,Kota Mataram,5271,18,1,1
292,Kota Bima,5272,18,1,1
293,Kabupaten Sumba Barat,5301,19,1,1
294,Kabupaten Sumba Timur,5302,19,1,1
295,Kabupaten Kupang,5303,19,1,1
296,Kabupaten Timor Tengah Selatan,5304,19,1,1
297,Kabupaten Timor Tengah Utara,5305,19,1,1
298,Kabupaten Belu,5306,19,1,1
299,Kabupaten Alor,5307,19,1,1
300,Kabupaten Lembata,5308,19,1,1
301,Kabupaten Flores Timur,5309,19,1,1
302,Kabupaten Sikka,5310,19,1,1
303,Kabupaten Ende,5311,19,1,1
304,Kabupaten Ngada,5312,19,1,1
305,Kabupaten Manggarai,5313,19,1,1
306,Kabupaten Rote Ndao,5314,19,1,1
307,Kabupaten Manggarai Barat,5315,19,1,1
308,Kabupaten Sumba Tengah,5316,19,1,1
309,Kabupaten Sumba Barat Daya,5317,19,1,1
310,Kabupaten Nagekeo,5318,19,1,1
311,Kabupaten Manggarai Timur,5319,19,1,1
312,Kabupaten Sabu Raijua,5320,19,1,1
313,Kabupaten Malaka,5321,19,1,1
314,Kota Kupang,5371,19,1,1
315,Kabupaten Sambas,6101,20,1,1
316,Kabupaten Bengkayang,6102,20,1,1
317,Kabupaten Landak,6103,20,1,1
318,Kabupaten Mempawah,6104,20,1,1
319,Kabupaten Sanggau,6105,20,1,1
320,Kabupaten Ketapang,6106,20,1,1
321,Kabupaten Sintang,6107,20,1,1
322,Kabupaten Kapuas Hulu,6108,20,1,1
323,Kabupaten Sekadau,6109,20,1,1
324,Kabupaten Melawi,6110,20,1,1
325,Kabupaten Kayong Utara,6111,20,1,1
326,Kabupaten Kubu Raya,6112,20,1,1
327,Kota Pontianak,6171,20,1,1
328,Kota Singkawang,6172,20,1,1
329,Kabupaten Kotawaringin Barat,6201,21,1,1
330,Kabupaten Kotawaringin Timur,6202,21,1,1
331,Kabupaten Kapuas,6203,21,1,1
332,Kabupaten Barito Selatan,6204,21,1,1
333,Kabupaten Barito Utara,6205,21,1,1
334,Kabupaten Sukamara,6206,21,1,1
335,Kabupaten Lamandau,6207,21,1,1
336,Kabupaten Seruyan,6208,21,1,1
337,Kabupaten Katingan,6209,21,1,1
338,Kabupaten Pulang Pisau,6210,21,1,1
339,Kabupaten Gunung Mas,6211,21,1,1
340,Kabupaten Barito Timur,6212,21,1,1
341,Kabupaten Murung Raya,6213,21,1,1
342,Kota Palangka Raya,6271,21,1,1
343,Kabupaten Tanah Laut,6301,22,1,1
344,Kabupaten Kota Baru,6302,22,1,1
345,Kabupaten Banjar,6303,22,1,1
346,Kabupaten Barito Kuala,6304,22,1,1
347,Kabupaten Tapin,6305,22,1,1
348,Kabupaten Hulu Sungai Selatan,6306,22,1,1
349,Kabupaten Hulu Sungai Tengah,6307,22,1,1
350,Kabupaten Hulu Sungai Utara,6308,22,1,1
351,Kabupaten Tabalong,6309,22,1,1
352,Kabupaten Tanah Bumbu,6310,22,1,1
353,Kabupaten Balangan,6311,22,1,1
354,Kota Banjarmasin,6371,22,1,1
355,Kota Banjar Baru,6372,22,1,1
356,Kabupaten Paser,6401,23,1,1
357,Kabupaten Kutai Barat,6402,23,1,1
358,Kabupaten Kutai Kartanegara,6403,23,1,1
359,Kabupaten Kutai Timur,6404,23,1,1
360,Kabupaten Berau,6405,23,1,1
361,Kabupaten Penajam Paser Utara,6409,23,1,1
362,Kabupaten Mahakam Hulu,6411,23,1,1
363,Kota Balikpapan,6471,23,1,1
364,Kota Samarinda,6472,23,1,1
365,Kota Bontang,6474,23,1,1
366,Kabupaten Malinau,6501,24,1,1
367,Kabupaten Bulungan,6502,24,1,1
368,Kabupaten Tana Tidung,6503,24,1,1
369,Kabupaten Nunukan,6504,24,1,1
370,Kota Tarakan,6571,24,1,1
371,Kabupaten Bolaang Mongondow,7101,25,1,1
372,Kabupaten Minahasa,7102,25,1,1
373,Kabupaten Kepulauan Sangihe,7103,25,1,1
374,Kabupaten Kepulauan Talaud,7104,25,1,1
375,Kabupaten Minahasa Selatan,7105,25,1,1
376,Kabupaten Minahasa Utara,7106,25,1,1
377,Kabupaten Bolaang Mongondow Utara,7107,25,1,1
378,Kabupaten Siau Tagulandang Biaro,7108,25,1,1
379,Kabupaten Minahasa Tenggara,7109,25,1,1
380,Kabupaten Bolaang Mongondow Selatan,7110,25,1,1
381,Kabupaten Bolaang Mongondow Timur,7111,25,1,1
382,Kota Manado,7171,25,1,1
383,Kota Bitung,7172,25,1,1
384,Kota Tomohon,7173,25,1,1
385,Kota Kotamobagu,7174,25,1,1
386,Kabupaten Banggai Kepulauan,7201,26,1,1
387,Kabupaten Banggai,7202,26,1,1
388,Kabupaten Morowali,7203,26,1,1
389,Kabupaten Poso,7204,26,1,1
390,Kabupaten Donggala,7205,26,1,1
391,Kabupaten Toli-Toli,7206,26,1,1
392,Kabupaten Buol,7207,26,1,1
393,Kabupaten Parigi Moutong,7208,26,1,1
394,Kabupaten Tojo Una-Una,7209,26,1,1
395,Kabupaten Sigi,7210,26,1,1
396,Kabupaten Banggai Laut,7211,26,1,1
397,Kabupaten Morowali Utara,7212,26,1,1
398,Kota Palu,7271,26,1,1
399,Kabupaten Kepulauan Selayar,7301,27,1,1
400,Kabupaten Bulukumba,7302,27,1,1
401,Kabupaten Bantaeng,7303,27,1,1
402,Kabupaten Jeneponto,7304,27,1,1
403,Kabupaten Takalar,7305,27,1,1
404,Kabupaten Gowa,7306,27,1,1
405,Kabupaten Sinjai,7307,27,1,1
406,Kabupaten Maros,7308,27,1,1
407,Kabupaten Pangkajene Dan Kepulauan,7309,27,1,1
408,Kabupaten Barru,7310,27,1,1
409,Kabupaten Bone,7311,27,1,1
410,Kabupaten Soppeng,7312,27,1,1
411,Kabupaten Wajo,7313,27,1,1
412,Kabupaten Sidenreng Rappang,7314,27,1,1
413,Kabupaten Pinrang,7315,27,1,1
414,Kabupaten Enrekang,7316,27,1,1
415,Kabupaten Luwu,7317,27,1,1
416,Kabupaten Tana Toraja,7318,27,1,1
417,Kabupaten Luwu Utara,7322,27,1,1
418,Kabupaten Luwu Timur,7325,27,1,1
419,Kabupaten Toraja Utara,7326,27,1,1
420,Kota Makassar,7371,27,1,1
421,Kota Parepare,7372,27,1,1
422,Kota Palopo,7373,27,1,1
423,Kabupaten Buton,7401,28,1,1
424,Kabupaten Muna,7402,28,1,1
425,Kabupaten Konawe,7403,28,1,1
426,Kabupaten Kolaka,7404,28,1,1
427,Kabupaten Konawe Selatan,7405,28,1,1
428,Kabupaten Bombana,7406,28,1,1
429,Kabupaten Wakatobi,7407,28,1,1
430,Kabupaten Kolaka Utara,7408,28,1,1
431,Kabupaten Buton Utara,7409,28,1,1
432,Kabupaten Konawe Utara,7410,28,1,1
433,Kabupaten Kolaka Timur,7411,28,1,1
434,Kabupaten Konawe Kepulauan,7412,28,1,1
